start date,start time,end date,end time,title,stage
2025-06-19,19:30,2025-06-19,20:00,Opening Ceremony,DAAD STAGE
2025-06-19,20:00,2025-06-19,21:30,Octave One,DAAD STAGE
2025-06-19,21:30,2025-06-19,23:00,ISU,DAAD STAGE
2025-06-19,23:00,2025-06-20,1:00,Speedy J,DAAD STAGE
2025-06-20,1:00,2025-06-20,3:00,Dave Clark,DAAD STAGE
2025-06-20,3:00,2025-06-20,5:00,D. Dan,DAAD STAGE
2025-06-20,5:00,2025-06-20,7:00,Philippa Pacho,DAAD STAGE
2025-06-20,20:00,2025-06-20,21:30,Indirect Movement,DAAD STAGE
2025-06-20,21:30,2025-06-20,23:30,Peter van Hosen,DAAD STAGE
2025-06-20,23:30,2025-06-21,1:30,Luke Slater,DAAD STAGE
2025-06-21,1:30,2025-06-21,3:30,Jeff Mills,DAAD STAGE
2025-06-21,3:30,2025-06-21,5:00,Answer Code Request,DAAD STAGE
2025-06-21,5:00,2025-06-21,7:00,Adriana Lopez,DAAD STAGE
2025-06-21,20:00,2025-06-21,21:30,Fourk,DAAD STAGE
2025-06-21,21:30,2025-06-21,23:00,Katamii,DAAD STAGE
2025-06-21,23:00,2025-06-22,1:00,Quelza,DAAD STAGE
2025-06-22,1:00,2025-06-22,3:00,DVS1,DAAD STAGE
2025-06-22,3:00,2025-06-22,5:00,Marron,DAAD STAGE
2025-06-22,5:00,2025-06-22,7:00,Inox Traxx,DAAD STAGE
2025-06-19,21:00,2025-06-19,23:00,Jaffa Surfa,THE DOME
2025-06-19,23:00,2025-06-20,1:00,Cassy,THE DOME
2025-06-20,1:00,2025-06-20,3:00,Magda,THE DOME
2025-06-20,3:00,2025-06-20,5:00,Chaos in the CBD,THE DOME
2025-06-20,5:00,2025-06-20,6:30,Grema,THE DOME
2025-06-20,6:30,2025-06-20,8:00,Peter Bernath,THE DOME
2025-06-20,19:00,2025-06-20,20:00,AIWA,THE DOME
2025-06-20,20:00,2025-06-20,22:00,Out of Place Artefacts,THE DOME
2025-06-20,22:00,2025-06-21,0:00,Blazej Malinowski,THE DOME
2025-06-21,0:00,2025-06-21,2:00,Tobias,THE DOME
2025-06-21,2:00,2025-06-21,4:00,Aurora Halal,THE DOME
2025-06-21,4:00,2025-06-21,6:00,TSU,THE DOME
2025-06-21,6:00,2025-06-21,8:00,Switch Nollie,THE DOME
2025-06-21,19:00,2025-06-21,21:00,Imre Kiss,THE DOME
2025-06-21,21:00,2025-06-21,23:00,Crimson,THE DOME
2025-06-21,23:00,2025-06-22,0:30,Legowelt,THE DOME
2025-06-22,0:30,2025-06-22,2:30,Marco Shuttle,THE DOME
2025-06-22,2:30,2025-06-22,4:30,Polygonia,THE DOME
2025-06-22,4:30,2025-06-22,6:30,AzaMirmur,THE DOME
2025-06-22,6:30,2025-06-22,8:00,Roland Handrick,THE DOME
2025-06-22,15:00,2025-06-22,17:00,Zvezda Beta,THE DOME
2025-06-22,17:00,2025-06-22,20:00,Carl Craig,THE DOME
2025-06-19,21:30,2025-06-19,23:30,UNKLE,DRAGON NEST
2025-06-19,23:30,2025-06-20,1:30,Acid Pauli,DRAGON NEST
2025-06-20,1:30,2025-06-20,3:30,Adam Ten,DRAGON NEST
2025-06-20,18:00,2025-06-20,20:00,Mantra,DRAGON NEST
2025-06-20,20:00,2025-06-20,22:00,Netam,DRAGON NEST
2025-06-20,22:00,2025-06-20,23:30,Hraach,DRAGON NEST
2025-06-20,23:30,2025-06-21,2:30,Oliver Koletzki,DRAGON NEST
2025-06-21,18:00,2025-06-21,19:30,OIEE,DRAGON NEST
2025-06-21,19:30,2025-06-21,21:30,Fine Cut Bodies,DRAGON NEST
2025-06-21,21:30,2025-06-21,23:30,Freq Nasty,DRAGON NEST
2025-06-21,23:30,2025-06-22,1:30,Goldie & Medic Mc,DRAGON NEST
2025-06-21,1:30,2025-06-22,3:00,Shaymi,DRAGON NEST
2025-06-22,19:30,2025-06-22,21:30,Mira,DRAGON NEST
2025-06-22,21:30,2025-06-22,23:30,WHOMADEWHO,DRAGON NEST
2025-06-18,20:00,2025-06-18,22:00,Moonbase Patel Disco,COOKING GROOVE
2025-06-18,22:00,2025-06-19,0:00,Tolo & Falcao,COOKING GROOVE
2025-06-19,0:00,2025-06-19,3:00,Gerd Janson,COOKING GROOVE
2025-06-19,3:00,2025-06-19,6:00,Mano Le Tough,COOKING GROOVE
2025-06-20,10:00,2025-06-20,12:00,Stee,COOKING GROOVE
2025-06-20,12:00,2025-06-20,14:00,Modul aka Mango,COOKING GROOVE
2025-06-20,14:00,2025-06-20,16:00,Hiboo & Dinza,COOKING GROOVE
2025-06-21,10:00,2025-06-21,12:00,Daniel Moritz,COOKING GROOVE
2025-06-21,12:00,2025-06-21,14:00,Daniel Santiago,COOKING GROOVE
2025-06-21,14:00,2025-06-21,16:00,Daniel Ban,COOKING GROOVE
2025-06-22,10:00,2025-06-22,12:00,Booshanka,COOKING GROOVE
2025-06-22,12:00,2025-06-22,14:00,Baladi,COOKING GROOVE
2025-06-22,14:00,2025-06-22,16:00,MEO Culpa & Zakharov,COOKING GROOVE
2025-06-23,0:00,2025-06-23,4:00,OVERCOOKING,COOKING GROOVE
2025-06-19,8:00,2025-06-19,10:00,Ferenc Szanaty,AM/BEACH
2025-06-19,10:00,2025-06-19,12:00,Garpo,AM/BEACH
2025-06-19,12:00,2025-06-19,15:00,Kirill & Kernel,AM/BEACH
2025-06-19,15:00,2025-06-19,18:00,Vatsanah & Dj Reload,AM/BEACH
2025-06-20,8:00,2025-06-20,11:00,Rising Love Records,AM/BEACH
2025-06-20,11:00,2025-06-20,13:00,Telemala,AM/BEACH
2025-06-20,13:00,2025-06-20,15:00,Adis is OK,AM/BEACH
2025-06-20,15:00,2025-06-20,18:00,Vedat Akdag,AM/BEACH
2025-06-21,8:00,2025-06-21,10:00,Candyman de Marquis,AM/BEACH
2025-06-21,10:00,2025-06-21,12:00,James Cole,AM/BEACH
2025-06-21,12:00,2025-06-21,14:00,KÃ¼hl,AM/BEACH
2025-06-21,14:00,2025-06-21,16:00,Chriss Ronson,AM/BEACH
2025-06-21,16:00,2025-06-21,18:00,Budai,AM/BEACH
2025-06-22,8:00,2025-06-22,10:30,Woody & GraBo,AM/BEACH
2025-06-22,10:30,2025-06-22,12:30,Metha,AM/BEACH
2025-06-22,12:30,2025-06-22,15:00,Secret Factory,AM/BEACH